dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
0.515967,111,0,1,52,38,37178,3172,172.491648,31,29,565369.5,47894.53516,18,8,10.109706,13.929757,1021.596882,35.823324,255,2598018572,2603168263,255,0.000716,0.000563,0.000153,715,83,0,0,15,0,2,1,1,2,0,0,0,4,8,0,0
1.100093,111,9,1,58,26,50597,1972,75.448166,254,252,361605.7813,13795.19727,26,8,19.299877,43.755801,1470.043818,55.278383,255,1861929621,1867825329,255,0.049921,0.006138,0.043783,872,76,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
0.045148,111,0,1,96,98,5486,92746,4274.829438,31,29,961991.6875,16266501.0,7,42,0.471937,0.459876,24.562619,24.460377,255,58161989,72695941,255,0.000691,0.000533,0.000158,57,946,0,0,9,0,4,1,1,1,0,0,0,3,7,0,0
1e-05,98,0,2,2,0,104,0,100000.0025,254,0,41600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,12,2,5,2,2,4,0,0,0,4,12,0,1
6e-06,101,0,2,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,4,4,4,4,0,0,0,8,14,0,1
0.883485,111,9,1,16,14,880,1088,32.824552,254,252,7470.415527,9154.654297,5,5,53.820935,64.064848,2709.835825,71.993813,255,3445105902,2392633447,255,0.094231,0.050633,0.043598,55,78,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
0.016949,111,0,1,48,50,2958,32368,5723.051562,31,29,1367396.375,14972447.0,7,18,0.35334,0.33398,19.934371,19.40274,255,1724238411,1724567954,255,0.000717,0.000583,0.000134,62,647,0,0,4,0,6,1,1,3,0,0,0,5,11,0,0
0.001176,117,2,0,2,2,146,178,2551.020428,31,29,496598.6563,605442.1875,0,0,0.008,0.01,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,2,2,1,1,0,0,0,5,2,0,0
0.288365,117,0,0,4,4,568,304,24.27479,31,29,11818.35449,6325.316895,0,0,91.021664,90.988336,128.70993,128.668453,0,0,0,0,0.0,0.0,0.0,142,76,0,0,6,0,7,2,1,3,0,0,0,5,12,0,0
0.232371,111,5,1,10,8,786,920,73.15887,62,252,24374.81445,27714.30078,2,2,25.819,31.167857,1391.832329,55.788531,255,205606285,659941046,255,0.054925,0.008239,0.046686,79,115,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
8e-06,32,0,2,2,0,156,0,125000.0003,254,0,78000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,78,0,0,0,1,2,1,1,1,4,0,0,0,3,1,0,1
0.001031,117,2,0,2,2,130,162,2909.796171,31,29,504364.6563,628516.0,0,0,0.01,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,4,1,1,1,0,0,0,5,3,0,0
2e-06,1,0,2,2,0,200,0,500000.0013,254,0,400000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,10,5,0,1
