rate,sload,sbytes,dload,proto,dtcpb,stcpb,dmean,tcprtt,dur,label
172.491648,565369.5,37178,47894.53516,111,2603168263,2598018572,83,0.000716,0.515967,0
75.448166,361605.7813,50597,13795.19727,111,1867825329,1861929621,76,0.049921,1.100093,1
4274.829438,961991.6875,5486,16266501.0,111,72695941,58161989,946,0.000691,0.045148,0
100000.0025,41600000.0,104,0.0,98,0,0,0,0.0,1e-05,1
100000.0025,80000000.0,200,0.0,101,0,0,0,0.0,6e-06,1
32.824552,7470.415527,880,9154.654297,111,2392633447,3445105902,78,0.094231,0.883485,1
5723.051562,1367396.375,2958,14972447.0,111,1724567954,1724238411,647,0.000717,0.016949,0
2551.020428,496598.6563,146,605442.1875,117,0,0,89,0.0,0.001176,0
24.27479,11818.35449,568,6325.316895,117,0,0,76,0.0,0.288365,0
73.15887,24374.81445,786,27714.30078,111,659941046,205606285,115,0.054925,0.232371,1
125000.0003,78000000.0,156,0.0,32,0,0,0,0.0,8e-06,1
2909.796171,504364.6563,130,628516.0,117,0,0,81,0.0,0.001031,0
500000.0013,400000000.0,200,0.0,1,0,0,0,0.0,2e-06,1
1539.179152,538806.0,1540,579477.625,111,391633146,386958044,91,0.000611,0.02144,0
1504.890879,195033.8594,216,686230.25,111,2386524160,2380181924,95,0.000505,0.006645,0
10.701384,10175.48731,998,525.896606,111,993687273,1290977313,43,0.39444,0.654121,0
333333.3215,266666656.0,200,0.0,118,0,0,0,0.0,3e-06,1
0.0,0.0,46,0.0,6,0,0,0,0.0,0.0,0
111111.1072,88888888.0,200,0.0,20,0,0,0,0.0,9e-06,1
3003.002883,520520.5,130,648648.625,117,0,0,81,0.0,0.000999,0
111111.1072,1170666624.0,2634,0.0,117,0,0,0,0.0,9e-06,1
30.397038,7195.157715,558,4434.391602,111,175749929,3588937690,44,0.119069,0.559265,0
78.274384,307849.4375,31727,17781.95313,111,302112566,3935790558,85,0.051332,0.804861,1
1588.883504,361400.5,4862,5995186.5,111,2672247707,2658620860,938,0.000648,0.106364,0
1881.542813,339578.5313,5904,11138327.0,111,3010839296,857641351,1176,0.000698,0.137653,0
20.741639,5320.921875,534,2477.934326,111,2618813428,1365566981,45,0.231863,0.723183,0
22.257743,19230.68945,3024,0.0,77,0,0,0,0.0,1.213061,1
25.276752,4613.590332,1570,167047.4375,111,118994921,2358657037,1142,0.252797,2.571533,1
2292.616845,7201479.5,37232,650807.375,111,85490487,2233952573,80,0.00082,0.040565,0
16.586855,3754.483643,534,2419.729492,111,3115583019,1701981402,44,0.134479,1.024908,0
166666.6608,133333328.0,200,0.0,120,0,0,0,0.0,6e-06,1
166666.6608,118666664.0,178,0.0,117,0,0,0,0.0,6e-06,0
5936.407348,1476783.0,2334,10319265.0,111,2448101102,298159124,429,0.000885,0.012297,0
0.0,0.0,46,0.0,6,0,0,0,0.0,0.0,0
13.420682,12761.15137,998,659.530701,111,1303422337,1278315388,43,0.429764,0.521583,0
8.95451,8514.459961,998,440.050201,111,67138942,770784474,43,0.438216,0.781729,0
125000.0003,100000000.0,200,0.0,118,0,0,0,0.0,8e-06,1
85.386735,13338.30664,424,290818.2188,111,632889373,31168603,735,0.000582,0.222517,0
333333.3215,266666656.0,200,0.0,118,0,0,0,0.0,3e-06,1
532.103267,90605.25781,6042,3275196.0,111,552955095,548162037,1181,0.000689,0.528093,0
1000000.003,800000000.0,200,0.0,118,0,0,0,0.0,1e-06,1
30.336996,9503.462891,826,13590.97363,111,492152586,1848637315,118,0.105251,0.626298,0
200000.0051,160000000.0,200,0.0,118,0,0,0,0.0,5e-06,1
28.983492,7435.231934,534,3462.561279,111,3679576708,70087937,45,0.127318,0.517536,0
2381.11055,411789.8125,5488,14544924.0,111,3177168524,3177678859,1176,0.000663,0.105413,0
22.918793,9447.367188,1068,6417.261719,111,3421148067,898356482,95,0.18278,0.829014,1
21.347594,6606.518555,816,11082.77246,111,657538735,2492374366,137,0.110769,0.89003,0
1852.368175,444887.0625,2854,4777915.0,111,1394271244,3531502625,638,0.001212,0.050206,0
333333.3215,138666656.0,104,0.0,117,0,0,0,0.0,3e-06,0
23.101155,13076.38086,3039,7076.841797,111,1640157391,804836135,83,0.153688,1.774803,1
27.271985,7156.168945,546,3258.093018,111,585707142,2677821425,45,0.198646,0.550015,0
4851.889663,16937692.0,8928,545454.5625,111,1080974822,1069304524,53,0.000673,0.003916,0
0.439602,158.25676,180,0.0,111,0,0,0,0.0,6.824353,0
90909.0902,72727272.0,200,0.0,118,0,0,0,0.0,1.1e-05,1
166666.6608,59999996.0,90,0.0,111,0,0,0,0.0,6e-06,0
92.288985,29271.89453,748,48511.43359,111,1491523650,1759258242,160,0.024731,0.184204,1
71428.57045,29714286.0,104,0.0,95,0,0,0,0.0,1.4e-05,1
71.261954,26566.45703,776,8513.427734,111,271126300,3490900215,45,0.050743,0.210491,1
1223.128261,428169.0313,1540,460489.25,111,1246369272,3386265856,91,0.000605,0.02698,0
63.262648,316525.0938,27760,6932.40918,111,544267958,3100951520,54,0.097908,0.679706,0
333333.3215,266666656.0,200,0.0,27,0,0,0,0.0,3e-06,1
200000.0051,160000000.0,200,0.0,21,0,0,0,0.0,5e-06,1
333333.3215,266666656.0,200,0.0,118,0,0,0,0.0,3e-06,1
13.425467,5169.388672,1192,3525.644531,111,3095045611,4256363281,84,0.209574,1.713162,0
2851.711087,494296.5938,130,615969.625,117,0,0,81,0.0,0.001052,0
250000.0006,200000000.0,200,0.0,112,0,0,0,0.0,4e-06,1
1613.098668,282069.125,5592,9775658.0,111,4210781282,4203028051,1176,0.000657,0.156841,0
