dur,proto,sbytes,dbytes,rate,sload,dload,sinpkt,dinpkt,sjit,djit,stcpb,dtcpb,tcprtt,ackdat,smean,dmean,response_body_len,label
0.515967,111,37178,3172,172.491648,565369.5,47894.53516,10.109706,13.929757,1021.596882,35.823324,2598018572,2603168263,0.000716,0.000153,715,83,0,0
1.100093,111,50597,1972,75.448166,361605.7813,13795.19727,19.299877,43.755801,1470.043818,55.278383,1861929621,1867825329,0.049921,0.043783,872,76,0,1
0.045148,111,5486,92746,4274.829438,961991.6875,16266501.0,0.471937,0.459876,24.562619,24.460377,58161989,72695941,0.000691,0.000158,57,946,0,0
1e-05,98,104,0,100000.0025,41600000.0,0.0,0.01,0.0,0.0,0.0,0,0,0.0,0.0,52,0,0,1
6e-06,101,200,0,100000.0025,80000000.0,0.0,0.01,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.883485,111,880,1088,32.824552,7470.415527,9154.654297,53.820935,64.064848,2709.835825,71.993813,3445105902,2392633447,0.094231,0.043598,55,78,0,1
0.016949,111,2958,32368,5723.051562,1367396.375,14972447.0,0.35334,0.33398,19.934371,19.40274,1724238411,1724567954,0.000717,0.000134,62,647,0,0
0.001176,117,146,178,2551.020428,496598.6563,605442.1875,0.008,0.01,0.0,0.0,0,0,0.0,0.0,73,89,0,0
0.288365,117,568,304,24.27479,11818.35449,6325.316895,91.021664,90.988336,128.70993,128.668453,0,0,0.0,0.0,142,76,0,0
0.232371,111,786,920,73.15887,24374.81445,27714.30078,25.819,31.167857,1391.832329,55.788531,205606285,659941046,0.054925,0.046686,79,115,0,1
8e-06,32,156,0,125000.0003,78000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0.0,0.0,78,0,0,1
0.001031,117,130,162,2909.796171,504364.6563,628516.0,0.01,0.007,0.0,0.0,0,0,0.0,0.0,65,81,0,0
2e-06,1,200,0,500000.0013,400000000.0,0.0,0.002,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.02144,111,1540,1644,1539.179152,538806.0,579477.625,1.408533,1.232765,84.789259,2.32773,386958044,391633146,0.000611,0.000132,96,91,0,0
0.006645,111,216,664,1504.890879,195033.8594,686230.25,2.215,1.002,121.154288,68.556313,2380181924,2386524160,0.000505,0.0,54,95,83,0
0.654121,111,998,86,10.701384,10175.48731,525.896606,130.8242,0.007,6677.124251,0.0,1290977313,993687273,0.39444,0.069995,166,43,0,0
3e-06,118,200,0,333333.3215,266666656.0,0.0,0.003,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.0,6,46,0,0.0,0.0,0.0,60000.688,0.0,0.0,0.0,0,0,0.0,0.0,46,0,0,0
9e-06,20,200,0,111111.1072,88888888.0,0.0,0.009,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.000999,117,130,162,3003.002883,520520.5,648648.625,0.008,0.006,0.0,0.0,0,0,0.0,0.0,65,81,0,0
9e-06,117,2634,0,111111.1072,1170666624.0,0.0,0.009,0.0,0.0,0.0,0,0,0.0,0.0,1317,0,0,1
0.559265,111,558,354,30.397038,7195.157715,4434.391602,58.659667,68.288141,3861.300395,112.338688,3588937690,175749929,0.119069,0.037824,56,44,0,0
0.804861,111,31727,1874,78.274384,307849.4375,17781.95313,19.630757,37.831285,1371.576801,45.397289,3935790558,302112566,0.051332,0.044797,755,85,0,1
0.106364,111,4862,80646,1588.883504,361400.5,5995186.5,1.27759,1.245282,81.081091,78.233813,2658620860,2672247707,0.000648,0.000137,58,938,0,0
0.137653,111,5904,192828,1881.542813,339578.5313,11138327.0,1.445421,0.841135,84.090539,51.801711,857641351,3010839296,0.000698,0.000153,62,1176,0,0
0.723183,111,534,268,20.741639,5320.921875,2477.934326,80.237,124.492203,4173.587672,203.591813,1365566981,2618813428,0.231863,0.131147,53,45,0,0
1.213061,77,3024,0,22.257743,19230.68945,0.0,44.928184,0.0,48.961914,0.0,0,0,0.0,0.0,108,0,0,1
2.571533,111,1570,54838,25.276752,4613.590332,167047.4375,151.266647,49.977809,8731.207978,5956.972671,2358657037,118994921,0.252797,0.12691,87,1142,0,1
